,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55010,EIF5,Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60841,EIF5B,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P84090,ERH,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,1,,,,1,,,,1,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01844,EWSR1,RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1,,1,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TAV0,FAM76A,Protein FAM76A OS=Homo sapiens OX=9606 GN=FAM76A PE=2 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86YD7,FAM90A1,Protein FAM90A1 OS=Homo sapiens OX=9606 GN=FAM90A1 PE=1 SV=3,,,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NEZ5,FBXO22,F-box only protein 22 OS=Homo sapiens OX=9606 GN=FBXO22 PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68DX3,FRMPD2,FERM and PDZ domain-containing protein 2 OS=Homo sapiens OX=9606 GN=FRMPD2 PE=1 SV=3,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92616,GCN1,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TEQ6,GEMIN5,Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06210,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens OX=9606 GN=GFPT1 PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12849,GRSF1,G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13888,GTF2H2,General transcription factor IIH subunit 2 OS=Homo sapiens OX=9606 GN=GTF2H2 PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51124,GZMM,Granzyme M OS=Homo sapiens OX=9606 GN=GZMM PE=1 SV=2,,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00410,IPO5,Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52333,JAK3,Tyrosine-protein kinase JAK3 OS=Homo sapiens OX=9606 GN=JAK3 PE=1 SV=2,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H7Z6,KAT8,Histone acetyltransferase KAT8 OS=Homo sapiens OX=9606 GN=KAT8 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52292,KPNA2,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00505,KPNA3,Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14974,KPNB1,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2M2I5,KRT24,"Keratin, type I cytoskeletal 24 OS=Homo sapiens OX=9606 GN=KRT24 PE=1 SV=1",,3,,,,6,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NSB2,KRT84,"Keratin, type II cuticular Hb4 OS=Homo sapiens OX=9606 GN=KRT84 PE=2 SV=2",,2,,,,5,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96EM0,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase OS=Homo sapiens OX=9606 GN=L3HYPDH PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H9Z2,LIN28A,Protein lin-28 homolog A OS=Homo sapiens OX=9606 GN=LIN28A PE=1 SV=1,,1,,,,1,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P0N8,MARCHF2,E3 ubiquitin-protein ligase MARCHF2 OS=Homo sapiens OX=9606 GN=MARCHF2 PE=1 SV=1,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56192,MARS1,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P43121,MCAM,Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33992,MCM5,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40925,MDH1,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40926,MDH2,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",,2,,,,2,,,,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75095,MEGF6,Multiple epidermal growth factor-like domains protein 6 OS=Homo sapiens OX=9606 GN=MEGF6 PE=1 SV=4,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N3J2,METTL4,N(6)-adenine-specific methyltransferase METTL4 OS=Homo sapiens OX=9606 GN=METTL4 PE=1 SV=3,,,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5XKP0,MICOS13,MICOS complex subunit MIC13 OS=Homo sapiens OX=9606 GN=MICOS13 PE=1 SV=1,1,,,,1,,,,1,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46013,MKI67,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,1,,,,4,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NQ50,MRPL40,"39S ribosomal protein L40, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL40 PE=1 SV=1",1,,,,1,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1",1,,,,1,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52701,MSH6,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BQG0,MYBBP1A,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35579,MYH9,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2",1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49821,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4",1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35240,NF2,Merlin OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N4C6,NIN,Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=4,1,,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y266,NUDC,Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99650,OSMR,Oncostatin-M-specific receptor subunit beta OS=Homo sapiens OX=9606 GN=OSMR PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1",2,,,,2,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11498,PC,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57721,PCBP3,Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2,,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96JY6,PDLIM2,PDZ and LIM domain protein 2 OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29RF7,PDS5A,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IZL8,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2",1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15067,PFAS,Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18669,PGAM1,Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,1,,,,2,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20142,PGC,Gastricsin OS=Homo sapiens OX=9606 GN=PGC PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00169,PITPNA,Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens OX=9606 GN=PITPNA PE=1 SV=2,1,,,,2,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00491,PNP,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,1,,,,2,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63098,PPP3R1,Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2,1,,,,1,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1,,,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y520,PRRC2C,Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4,,1,,,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y617,PSAT1,Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2,2,,,,3,,,,2,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TAA3,PSMA8,Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3,,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28070,PSMB4,Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28072,PSMB6,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,1,,,,1,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62195,PSMC5,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62333,PSMC6,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UHX1,PUF60,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,1,,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62820,RAB1A,"Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3, Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3",1,1,,,3,1,,,1,1,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60216,RAD21,Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92878,RAD50,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NIZ1,RAP1BL,Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96PK6,RBM14,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NW64,RBM22,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18754,RCC1,Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P258,RCC2,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15293,RCN1,Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,1,,,,1,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14257,RCN2,Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2 PE=1 SV=1,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40937,RFC5,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61586,RHOA,Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,1,,,,1,,,,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H4A4,RNPEP,Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2,2,,,,2,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36578,RPL4,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62280,RPS11,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,1,,,,1,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,3,,,,3,,,,3,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NQC3,RTN4,Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9HCY8,S100A14,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,,,1,,,,1,,,,1,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5SY68,S100A7L2,Protein S100-A7-like 2 OS=Homo sapiens OX=9606 GN=S100A7L2 PE=1 SV=1,,1,,,,1,,,,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P82979,SARNP,SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3,,1,,,,1,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6UWP8,SBSN,Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2,,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6AZY7,SCARA3,Scavenger receptor class A member 3 OS=Homo sapiens OX=9606 GN=SCARA3 PE=1 SV=1,1,,,,2,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15436,SEC23A,Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O94979,SEC31A,Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95528,SLC2A10,"Solute carrier family 2, facilitated glucose transporter member 10 OS=Homo sapiens OX=9606 GN=SLC2A10 PE=1 SV=2",,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52788,SMS,Spermine synthase OS=Homo sapiens OX=9606 GN=SMS PE=1 SV=2,1,,,,2,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,1,,,,1,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01892,SPIB,Transcription factor Spi-B OS=Homo sapiens OX=9606 GN=SPIB PE=1 SV=1,,,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01130,SRSF2,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08945,SSRP1,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00267,SUPT5H,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22735,TGM1,"Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4, Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4, Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4",1,1,1,,1,1,1,,1,1,1,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07996,THBS1,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,1,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15363,TMED2,Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1,1,,,,1,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15785,TOMM34,Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12270,TPR,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TEL6,TRPC4AP,Short transient receptor potential channel 4-associated protein OS=Homo sapiens OX=9606 GN=TRPC4AP PE=1 SV=2,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99614,TTC1,Tetratricopeptide repeat protein 1 OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1,1,,,,1,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55072,VCP,"Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4, Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4",2,2,,,2,2,,,2,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62258,YWHAE,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,1,,,,3,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJU3,ZNF112,Zinc finger protein 112 OS=Homo sapiens OX=9606 GN=ZNF112 PE=1 SV=2,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6S9Z5,ZNF474,Zinc finger protein 474 OS=Homo sapiens OX=9606 GN=ZNF474 PE=1 SV=1,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
